name,url,image,sku,price_original,price_sale,saving_amount,saving_pct,qty,availability,availability_link
"Table de chevet KODALI avec porte en métal, blanc",https://patrickmorin.com/fr/table-de-chevet-kodali-avec-porte-en-metal-blanc-2909018,https://patrickmorin.com/media/catalog/product/1/-/1-2909018-fr.jpg,2909018,99.99,49.99,50.0,50.01,1,Livraison disponible,https://patrickmorin.com/fr/table-de-chevet-kodali-avec-porte-en-metal-blanc-2909018?view-availability=1
"Table de chevet KODALI avec porte en métal, bleu",https://patrickmorin.com/fr/table-de-chevet-kodali-avec-porte-en-metal-bleu-2909015,https://patrickmorin.com/media/catalog/product/1/-/1-2909015-fr.jpg,2909015,99.99,49.99,50.0,50.01,14,Livraison disponible,https://patrickmorin.com/fr/table-de-chevet-kodali-avec-porte-en-metal-bleu-2909015?view-availability=1
Chaise empilable PALERMA,https://patrickmorin.com/fr/chaise-empilable-palerma-2813774,https://patrickmorin.com/media/catalog/product/1/-/1-2813774-fr.jpg,2813774,99.99,49.99,50.0,50.01,73,Livraison disponible,https://patrickmorin.com/fr/chaise-empilable-palerma-2813774?view-availability=1
"Table de chevet KODALI avec porte en métal, bleu",https://patrickmorin.com/fr/table-de-chevet-kodali-avec-porte-en-metal-bleu-2909017,https://patrickmorin.com/media/catalog/product/1/-/1-2909017-fr.jpg,2909017,99.99,49.99,50.0,50.01,17,Livraison disponible,https://patrickmorin.com/fr/table-de-chevet-kodali-avec-porte-en-metal-bleu-2909017?view-availability=1
"Toilette LORA 2 pièces, double chasse, 4L/6L, MAP 800g",https://patrickmorin.com/fr/toilette-lora-2-pieces-double-chasse-4l-6l-map-800g-2906587,https://patrickmorin.com/media/catalog/product/d/u/dual-flush-toilet-1-2906587-fr.jpg,2906587,199.99,149.99,50.0,25.0,15,Livraison disponible,https://patrickmorin.com/fr/toilette-lora-2-pieces-double-chasse-4l-6l-map-800g-2906587?view-availability=1
"Fauteuil d'appoint SCILLE, noir",https://patrickmorin.com/fr/fauteuil-d-appoint-scille-noir-2827819,https://patrickmorin.com/media/catalog/product/1/-/1-2827819-fr.jpg,2827819,199.99,149.99,50.0,25.0,4,Livraison disponible,https://patrickmorin.com/fr/fauteuil-d-appoint-scille-noir-2827819?view-availability=1
"Fauteuil d'appoint SCILLE, bleu marine",https://patrickmorin.com/fr/fauteuil-d-appoint-scille-bleu-marine-2827820,https://patrickmorin.com/media/catalog/product/1/-/1-2827820-fr.jpg,2827820,199.99,149.99,50.0,25.0,6,Livraison disponible,https://patrickmorin.com/fr/fauteuil-d-appoint-scille-bleu-marine-2827820?view-availability=1
"Alarme WI-FI, sans fil",https://patrickmorin.com/fr/alarme-wi-fi-sans-fil-0657726,https://patrickmorin.com/media/catalog/product/w/i/wireless-alarm-wi-fi-1-0657726-fr.jpg,0657726,64.99,16.25,48.74,75.0,3,Livraison disponible,https://patrickmorin.com/fr/alarme-wi-fi-sans-fil-0657726?view-availability=1
"Robot nettoyeur de piscine rechargeable, DELTA 200",https://patrickmorin.com/fr/robot-nettoyeur-de-piscine-rechargeable-delta-200-0811363,https://patrickmorin.com/media/catalog/product/1/-/1-0811363-fr.jpg,0811363,189.99,142.49,47.5,25.0,3,Livraison disponible,https://patrickmorin.com/fr/robot-nettoyeur-de-piscine-rechargeable-delta-200-0811363?view-availability=1
Ensemble de recirculation Designer pour cheminée,https://patrickmorin.com/fr/ensemble-de-recirculation-designer-pour-cheminee-1613077,https://patrickmorin.com/media/catalog/product/d/e/designer-non-duct-recirculation-kit-for-chimney-hood-1-1613077-fr.jpg,1613077,92.99,46.49,46.5,50.01,2,Livraison disponible,https://patrickmorin.com/fr/ensemble-de-recirculation-designer-pour-cheminee-1613077?view-availability=1
Compresseur polyvalent,https://patrickmorin.com/fr/compresseur-polyvalent-0027031,https://patrickmorin.com/media/catalog/product/m/u/multi-purpose-compressor-polyvalent-1-0027031-fr.jpg,0027031,89.99,44.99,45.0,50.01,1,Livraison disponible,https://patrickmorin.com/fr/compresseur-polyvalent-0027031?view-availability=1
"Chaise longue KANSAS, noir",https://patrickmorin.com/fr/chaise-longue-kansas-noir-2813131,https://patrickmorin.com/media/catalog/product/c/h/chair-lounge-1-2813131-fr.jpg,2813131,179.99,134.99,45.0,25.0,7,Livraison disponible,https://patrickmorin.com/fr/chaise-longue-kansas-noir-2813131?view-availability=1
"Jeu de balles en échelle 2-en-1, HÖM SPORTS",https://patrickmorin.com/fr/jeu-de-balles-en-echelle-2-en-1-hom-sports-0811990,https://patrickmorin.com/media/catalog/product/2/-/2-in-1-ladder-ball-game-1-stand-1-0811990-fr.jpg,0811990,59.99,15.0,44.99,75.0,2,Livraison disponible,https://patrickmorin.com/fr/jeu-de-balles-en-echelle-2-en-1-hom-sports-0811990?view-availability=1
"Batterie au lithium-ion WORX, 20 V, Power Share PRO, 2 Ah",https://patrickmorin.com/fr/batterie-au-lithium-ion-worx-20-v-power-share-pro-2-ah-0720010,https://patrickmorin.com/media/catalog/product/1/-/1-0720010-fr.jpg,0720010,79.99,39.99,40.0,50.01,2,Livraison disponible,https://patrickmorin.com/fr/batterie-au-lithium-ion-worx-20-v-power-share-pro-2-ah-0720010?view-availability=1
"Petite table d'appoint en bois manguier, brun",https://patrickmorin.com/fr/petite-table-d-appoint-en-bois-manguier-brun-2810011,https://patrickmorin.com/media/catalog/product/1/-/1-2810011-fr.jpg,2810011,79.99,39.99,40.0,50.01,4,Livraison disponible,https://patrickmorin.com/fr/petite-table-d-appoint-en-bois-manguier-brun-2810011?view-availability=1
"Abri pour la plage instantané, vert",https://patrickmorin.com/fr/abri-pour-la-plage-instantane-vert-0313760,https://patrickmorin.com/media/catalog/product/b/e/beach-insta-shelter-1-0313760-fr.jpg,0313760,69.99,34.99,35.0,50.01,1,Livraison disponible,https://patrickmorin.com/fr/abri-pour-la-plage-instantane-vert-0313760?view-availability=1
"Pouf en cylindre, gris/naturel",https://patrickmorin.com/fr/pouf-en-cylindre-gris-naturel-2810014,https://patrickmorin.com/media/catalog/product/1/-/1-2810014-fr.jpg,2810014,69.99,34.99,35.0,50.01,11,Livraison disponible,https://patrickmorin.com/fr/pouf-en-cylindre-gris-naturel-2810014?view-availability=1
"Pouf en cube, charbon/naturel",https://patrickmorin.com/fr/pouf-en-cube-charbon-naturel-2810013,https://patrickmorin.com/media/catalog/product/1/-/1-2810013-fr.jpg,2810013,69.99,34.99,35.0,50.01,16,Livraison disponible,https://patrickmorin.com/fr/pouf-en-cube-charbon-naturel-2810013?view-availability=1
"Papier-peint non encollé, briques, blanc cassé/gris",https://patrickmorin.com/fr/papier-peint-non-encolle-briques-blanc-casse-gris-2827905,https://patrickmorin.com/media/catalog/product/w/a/wallpaper-unpasted-brick-1-2827905-fr.jpg,2827905,69.99,34.99,35.0,50.01,4,Livraison disponible,https://patrickmorin.com/fr/papier-peint-non-encolle-briques-blanc-casse-gris-2827905?view-availability=1
"Pompe pour fontaine en résine, 650L/h",https://patrickmorin.com/fr/pompe-pour-fontaine-en-resine-650l-h-0337393,https://patrickmorin.com/media/catalog/product/w/a/water-pump-for-polyresin-fountains-1400-liters-1-0337393-fr.jpg,0337393,69.99,34.99,35.0,50.01,1,Livraison disponible,https://patrickmorin.com/fr/pompe-pour-fontaine-en-resine-650l-h-0337393?view-availability=1
"Scellant brique/pierre, rehausseur de couleurs",https://patrickmorin.com/fr/scellant-brique-pierre-rehausseur-de-couleurs-2873561,https://patrickmorin.com/media/catalog/product/b/r/brick-stone-sealer-color-enhancer-1-2873561-fr.jpg,2873561,70.0,35.0,35.0,50.0,10,Livraison disponible,https://patrickmorin.com/fr/scellant-brique-pierre-rehausseur-de-couleurs-2873561?view-availability=1
"Auvent latéral rétractable, 118 po X 63 po X 4 po, gris",https://patrickmorin.com/fr/auvent-lateral-retractable-118-po-x-63-po-x-4-po-gris-1402686,https://patrickmorin.com/media/catalog/product/r/e/rectractable-side-awning-118-in-x-63-in-x-4-in-grey-1-1402686-fr.jpg,1402686,129.99,97.49,32.5,25.0,2,Livraison disponible,https://patrickmorin.com/fr/auvent-lateral-retractable-118-po-x-63-po-x-4-po-gris-1402686?view-availability=1
"Film poly patinoire, 24 pi x 50 pi, blanc",https://patrickmorin.com/fr/film-poly-patinoire-24-pi-x-50-pi-blanc-0258010,https://patrickmorin.com/media/catalog/product/1/-/1-0258010-fr.jpg,0258010,129.99,97.49,32.5,25.0,7,Livraison disponible,https://patrickmorin.com/fr/film-poly-patinoire-24-pi-x-50-pi-blanc-0258010?view-availability=1
Ens. scie sauteuse orbitale à course 20V 7/8 po avec batterie au lithium PWRCORE 20,https://patrickmorin.com/fr/ens-scie-sauteuse-orbitale-a-course-20v-7-8-po-avec-batterie-au-lithium-pwrcore-20-0385053,https://patrickmorin.com/media/catalog/product/2/0/20v-7-8-in-stroke-lenght-orbital-jigsaw-kit-with-pwrcore-20v-lithium-battery-1-0385053-fr.jpg,0385053,129.99,97.49,32.5,25.0,12,Livraison disponible,https://patrickmorin.com/fr/ens-scie-sauteuse-orbitale-a-course-20v-7-8-po-avec-batterie-au-lithium-pwrcore-20-0385053?view-availability=1
Filtres de remplacement,https://patrickmorin.com/fr/filtres-de-remplacement-1540841,https://patrickmorin.com/media/catalog/product/r/e/replacement-filters-1-1540841-fr.jpg,1540841,59.99,29.99,30.0,50.01,2,Livraison disponible,https://patrickmorin.com/fr/filtres-de-remplacement-1540841?view-availability=1
"Treillis extensible, feuilles de rose",https://patrickmorin.com/fr/treillis-extensible-feuilles-de-rose-0334716,https://patrickmorin.com/media/catalog/product/1/-/1-0334716-fr.jpg,0334716,59.99,29.99,30.0,50.01,15,Livraison disponible,https://patrickmorin.com/fr/treillis-extensible-feuilles-de-rose-0334716?view-availability=1
"Pouf en macramé, naturel",https://patrickmorin.com/fr/pouf-en-macrame-naturel-2810012,https://patrickmorin.com/media/catalog/product/1/-/1-2810012-fr.jpg,2810012,59.99,29.99,30.0,50.01,13,Livraison disponible,https://patrickmorin.com/fr/pouf-en-macrame-naturel-2810012?view-availability=1
"Moulure de transition en T sepia COMBO, taupe",https://patrickmorin.com/fr/moulure-de-transition-en-t-sepia-combo-taupe-0930030,https://patrickmorin.com/media/catalog/product/t/-/t-moulding-sepia-maple-cherrywood-1-0930030-fr.jpg,0930030,29.99,3.0,26.99,90.0,3,Livraison disponible,https://patrickmorin.com/fr/moulure-de-transition-en-t-sepia-combo-taupe-0930030?view-availability=1
"Toile opaque econoflex, 55-1/4 po X 70 po",https://patrickmorin.com/fr/toile-opaque-econoflex-55-1-4-po-x-70-po-2897456,https://patrickmorin.com/media/catalog/product/b/l/blackout-econoflex-blinds-55-1-4-in-x-70-in-1-2897456-fr.jpg,2897456,104.99,78.74,26.25,25.0,4,Livraison disponible,https://patrickmorin.com/fr/toile-opaque-econoflex-55-1-4-po-x-70-po-2897456?view-availability=1
"Ensemble de piquets lumineux solaires DEL, blanc chaud, 4/pqt",https://patrickmorin.com/fr/ensemble-de-piquets-lumineux-solaires-del-blanc-chaud-4-pqt-2600083,https://patrickmorin.com/media/catalog/product/1/-/1-2600083-fr.jpg,2600083,49.99,24.99,25.0,50.01,8,Livraison disponible,https://patrickmorin.com/fr/ensemble-de-piquets-lumineux-solaires-del-blanc-chaud-4-pqt-2600083?view-availability=1
"Jardiniere superposé GARANT sur roulettes, 3 bacs",https://patrickmorin.com/fr/jardiniere-superpose-garant-sur-roulettes-3-bacs-0124659,https://patrickmorin.com/media/catalog/product/1/-/1-0124659-fr.jpg,0124659,49.99,24.99,25.0,50.01,6,Livraison disponible,https://patrickmorin.com/fr/jardiniere-superpose-garant-sur-roulettes-3-bacs-0124659?view-availability=1
Kit de quincaillerie d'etabli / d'etagere,https://patrickmorin.com/fr/kit-de-quincaillerie-d-etabli-d-etagere-0348810,https://patrickmorin.com/media/catalog/product/h/a/hardware-kit-for-workbench-shelving-1-0348810-fr.jpg,0348810,49.99,24.99,25.0,50.01,1,Livraison disponible,https://patrickmorin.com/fr/kit-de-quincaillerie-d-etabli-d-etagere-0348810?view-availability=1
